competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202411,2,Nordeste,infeccoes,infeccao_puerperal,389,50951,0.7635,2440,151036.30,3
202411,2,Nordeste,outras_condicoes_maternas,anemia_complicando_gestacao,37,50951,0.0726,148,31240.69,0
202411,2,Nordeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1660,50951,3.258,7510,656735.70,0
202411,2,Nordeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,9,50951,0.0177,10,4468.58,0
202411,2,Nordeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,282,50951,0.5535,918,77340.13,0
202411,2,Nordeste,transtornos_hipertensivos,eclampsia,104,50951,0.2041,380,87093.63,0
202411,2,Nordeste,transtornos_hipertensivos,hipertensao_gestacional,835,50951,1.6388,3076,594011.12,0
202411,2,Nordeste,transtornos_hipertensivos,outros_hipertensivos,866,50951,1.6997,3017,692610.63,0
202411,2,Nordeste,transtornos_hipertensivos,pre_eclampsia,2042,50951,4.0078,9301,1846415.13,3
202411,3,Sudeste,complicacoes_anestesicas,anestesia_obstetrica,44,55726,0.079,123,14986.42,0
202411,3,Sudeste,complicacoes_gestacao,liquido_membranas_ou_placenta,2053,55726,3.6841,6535,1540101.89,0
202411,3,Sudeste,complicacoes_parto,trabalho_de_parto_ou_parto,5739,55726,10.2986,15857,3837384.26,3
202411,3,Sudeste,complicacoes_puerperais,outras_complicacoes_puerperais,236,55726,0.4235,851,112902.43,0
202411,3,Sudeste,complicacoes_vasculares,complicacoes_venosas,63,55726,0.1131,209,13841.47,0
202411,3,Sudeste,desfecho_abortivo,gestacao_com_desfecho_abortivo,5034,55726,9.0335,8363,1566886.88,3
202411,3,Sudeste,disturbios_metabolicos,diabetes_na_gestacao,2039,55726,3.659,8095,1215025.70,0
202411,3,Sudeste,hemorragias,hemorragia_pos_parto,91,55726,0.1633,251,66867.76,0
202411,3,Sudeste,hemorragias,outras_hemorragias_obstetricas,1414,55726,2.5374,2602,373664.40,0
202411,3,Sudeste,infeccoes,infeccao_geniturinaria_gestacao,804,55726,1.4428,3274,191144.31,0
202411,3,Sudeste,infeccoes,infeccao_puerperal,397,55726,0.7124,2023,175346.58,0
202411,3,Sudeste,outras_condicoes_maternas,anemia_complicando_gestacao,39,55726,0.07,131,13210.77,0
202411,3,Sudeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1329,55726,2.3849,4726,551151.34,1
202411,3,Sudeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,6,55726,0.0108,13,1999.76,0
202411,3,Sudeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,677,55726,1.2149,2433,237338.93,0
202411,3,Sudeste,transtornos_hipertensivos,eclampsia,193,55726,0.3463,812,152120.08,1
202411,3,Sudeste,transtornos_hipertensivos,hipertensao_gestacional,821,55726,1.4733,2865,514012.35,0
202411,3,Sudeste,transtornos_hipertensivos,outros_hipertensivos,1139,55726,2.0439,3840,916245.64,0
202411,3,Sudeste,transtornos_hipertensivos,pre_eclampsia,1278,55726,2.2934,5304,1141005.19,1
202411,4,Sul,complicacoes_anestesicas,anestesia_obstetrica,9,22684,0.0397,11,975.54,0
202411,4,Sul,complicacoes_gestacao,liquido_membranas_ou_placenta,604,22684,2.6627,1693,467518.72,0
202411,4,Sul,complicacoes_parto,trabalho_de_parto_ou_parto,2867,22684,12.6389,7680,1995883.24,0
202411,4,Sul,complicacoes_puerperais,outras_complicacoes_puerperais,117,22684,0.5158,328,34196.46,0
202411,4,Sul,complicacoes_vasculares,complicacoes_venosas,29,22684,0.1278,80,7741.39,0
202411,4,Sul,desfecho_abortivo,gestacao_com_desfecho_abortivo,1981,22684,8.733,2572,564781.17,0
