ano,codigo_territorio,territorio,nascidos_vivos,tipo_parto_informado,nascidos_vivos_parto_vaginal,nascidos_vivos_parto_cesareo,percentual_cesareas,gestacao_informada,nascidos_vivos_prematuros,percentual_prematuridade,peso_informado,nascidos_vivos_baixo_peso,percentual_baixo_peso,peso_medio_g,apgar5_informado,apgar5_menor_7,percentual_apgar5_menor_7,prenatal_informado,prenatal_7_mais,percentual_prenatal_7_mais,idade_mae_informada,nascidos_vivos_maes_adolescentes,nascidos_vivos_idade_materna_avancada,tipo_gravidez_informado,nascidos_vivos_gestacao_multipla
2024,1,Norte,265660,265502,120960,144542,54.441,262472,33723,12.8482,265518,22769,8.5753,3177.15,257565,2361,0.9167,257753,172585,66.9575,265639,49191,32799,265490,4473
2024,2,Nordeste,667114,666594,273128,393466,59.0263,657440,83423,12.6891,667063,59719,8.9525,3177.86,658385,7423,1.1275,651946,509693,78.1802,667113,91628,110871,666437,13543
2024,3,Sudeste,904335,904004,350304,553700,61.2497,900545,109681,12.1794,904317,91498,10.1179,3124.64,898066,8912,0.9924,894548,741461,82.8867,904332,79919,186036,904022,23168
2024,4,Sul,336800,336667,124116,212551,63.1339,335839,40187,11.9662,336795,31550,9.3677,3157.55,335822,3641,1.0842,333918,287266,86.0289,336800,27791,66403,336687,8305
2024,5,Centro-Oeste,215362,215339,71932,143407,66.5959,214863,26807,12.4763,215357,20824,9.6695,3128.01,214365,1967,0.9176,213853,169919,79.456,215362,24677,36900,215338,4957
