competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202406,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2392,175931,1.3596,8442,1492357.55,1
202406,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2686,175931,1.5267,9798,2163552.05,1
202406,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4935,175931,2.8051,21191,4318740.54,4
202407,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,137,176604,0.0776,408,32022.55,0
202407,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6475,176604,3.6664,19613,4931651.50,4
202407,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,20969,176604,11.8735,56579,13998808.59,8
202407,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,954,176604,0.5402,3906,416663.07,1
202407,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,192,176604,0.1087,871,74701.82,0
202407,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,4,176604,0.0023,25,4816.09,0
202407,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,13721,176604,7.7694,22973,3686460.81,3
202407,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4589,176604,2.5985,17898,2837408.08,1
202407,BR,Brasil,hemorragias,hemorragia_pos_parto,246,176604,0.1393,765,177192.88,2
202407,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3284,176604,1.8595,7343,1010220.48,1
202407,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2648,176604,1.4994,10873,575503.95,1
202407,BR,Brasil,infeccoes,infeccao_puerperal,1364,176604,0.7723,7802,591561.97,1
202407,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,104,176604,0.0589,428,49297.86,0
202407,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5354,176604,3.0316,21218,2184119.92,7
202407,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,49,176604,0.0277,131,17560.10,0
202407,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1125,176604,0.637,3851,359720.86,1
202407,BR,Brasil,transtornos_hipertensivos,eclampsia,530,176604,0.3001,2319,445295.33,1
202407,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2385,176604,1.3505,8565,1498845.16,1
202407,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2636,176604,1.4926,9282,2077120.91,1
202407,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,5239,176604,2.9665,22604,4563529.72,4
202408,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,178,176165,0.101,424,39433.47,0
202408,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6342,176165,3.6,18874,4782815.08,3
202408,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,21271,176165,12.0745,58109,14218934.99,10
202408,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,1007,176165,0.5716,4068,389224.51,2
202408,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,197,176165,0.1118,1130,99645.68,1
202408,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,2,176165,0.0011,16,501.24,0
